FIRST_NAME,LAST_NAME,EMAIL,GENDER,DOB_DD_MM_YYYY,USER_TYPE,ROLE,AGE,CLIENT_NAME,PROJECT_NAME,PROJECT_START_DATE,PROJECT_END_DATE,PROJECT_DURATION,PROJECT_CATEGORY,ALLOCATION_START,ALLOCATION_END,ALLOCATION_DURATION,WEEK_START,WEEK_END,ACTIVITY,COMMENTS,MON,TUE,WED,THUR,FRI,SAT,SUN,FLAG,TOTAL_WEEK_HOURS,HOURS_OVER_OR_UNDER,FEEDBACK_START_PERIOD,FEEDBACK_END_PERIOD,Q1,Q2,Q3,Q4,Q5,Q6,FEEDBACK_COMMENTS,ATTENDANCE_REGULARIZATION
Chevy,Smitherman,csmitherman19@sciencedaily.com,Female,10-10-1984,User,consultant,40,Stanton and Sons,Software_Developper,2024-03-19,2024-04-23,35,Mid Cap Project,26-06-2023,17-07-2023,21,2023-04-29,2023-05-06,sales_activity,Feeling empowered to make decisions,1,11,4,5,4,2,1,False,28.0,-12.0,2023-12-30,2024-01-06,4,5,4,3,3,3,Experiencing difficulties in delegating tasks effectively.,1
Catherine,Corstorphine,ccorstorphineb6@google.com.hk,Female,06-02-1978,User,intern,46,"Mayert, Barton and Graham",Intern,2023-07-28,2023-08-11,14,Small Cap Project,23-07-2023,03-09-2023,42,2023-04-18,2023-04-25,client_project,Feeling stressed about impending deadlines,6,10,2,10,8,1,2,True,39.0,-1.0,,,,,,,,,,0
Augy,Aldersley,aaldersleyqx@goo.gl,Male,28-12-1981,User,intern,43,Hartmann-Barrows,Intern,2023-04-15,2023-05-06,21,Mid Cap Project,20-05-2023,03-06-2023,14,2024-01-26,2024-02-02,bau,Not feeling good about the progress,6,10,9,8,2,8,7,True,50.0,10.0,2023-10-17,2023-10-24,4,5,1,1,1,1,Concerns about the project's impact on organizational resources and priorities.,0
Zed,Hardway,zhardwayld@un.org,Female,29-03-1999,User,intern,25,Leannon-Grimes,Software_Developper,2023-10-20,2023-11-17,28,Mid Cap Project,17-03-2024,07-04-2024,21,2024-02-07,2024-02-14,client_project,Feeling accomplished after completing tasks,12,8,8,2,3,2,2,False,37.0,-3.0,,,,,,,,,,0
Chiarra,Avrashin,cavrashin2p@fda.gov,Female,26-08-1980,User,software_developper,44,Hudson-Wisoky,Software_Developper,2023-12-07,2024-01-18,42,Mid Cap Project,13-07-2023,17-08-2023,35,2023-07-03,2023-07-10,bau,Facing communication issues with team,2,8,11,8,3,2,2,False,36.0,-4.0,,,,,,,,,,0
Veronica,Lenihan,vlenihan7b@toplist.cz,Male,29-06-2001,User,software_developper,23,Yundt-MacGyver,Software_Developper,2024-03-08,2024-03-29,21,Mid Cap Project,05-01-2024,16-02-2024,42,2024-01-31,2024-02-07,client_project,Need to establish clearer project timelines,3,2,10,2,6,4,2,False,29.0,-11.0,,,,,,,,,,1
Prince,Nazaret,pnazaretj4@acquirethisname.com,Male,01-08-1984,User,intern,40,Nolan-Muller,Consulting,2023-09-11,2023-10-23,42,Mid Cap Project,17-08-2023,14-09-2023,28,2024-03-25,2024-04-01,bau,Experiencing delays due to external dependencies,7,4,4,11,1,1,9,False,37.0,-3.0,,,,,,,,,,0
Cirilo,Blaw,cblaw3a@google.fr,Female,26-01-1984,User,consultant,40,Fay-Welch,Consulting,2023-11-17,2023-12-29,42,Mid Cap Project,09-04-2023,14-05-2023,35,2024-03-14,2024-03-21,client_project,Need better communication from project stakeholders,7,5,2,4,1,6,9,False,34.0,-6.0,2023-06-15,2023-06-22,5,3,1,3,4,2,Need support in addressing team members' performance issues.,1
Owen,Paur,opaurpt@jugem.jp,Male,07-11-1975,User,consultant,49,Stiedemann Inc,Software_Developper,2023-04-09,2023-04-23,14,Small Cap Project,05-05-2023,19-05-2023,14,2023-09-12,2023-09-19,sales_activity,Task completion delayed due to unforeseen circumstances,10,3,2,2,1,9,6,True,33.0,-7.0,,,,,,,,,,1
Bradley,Jezzard,bjezzardgh@godaddy.com,Male,01-03-1980,User,intern,44,Cummerata-Langosh,Intern,2023-11-18,2023-12-02,14,Small Cap Project,14-11-2023,12-12-2023,28,2024-02-22,2024-02-29,bau,Feeling overwhelmed by project complexity,2,11,1,2,2,2,10,False,30.0,-10.0,2023-04-25,2023-05-02,2,1,4,2,1,2,Need support in improving my technical skills.,1
Chevy,Smitherman,csmitherman19@sciencedaily.com,Female,06-03-1984,User,consultant,40,Hand-Reichert,Software_Developper,2023-06-25,2023-07-16,21,Mid Cap Project,27-05-2023,01-07-2023,35,2023-11-30,2023-12-07,bau,Meeting deadlines consistently,5,9,1,7,7,3,8,False,40.0,0.0,2023-12-30,2024-01-06,4,5,4,3,3,3,Experiencing difficulties in delegating tasks effectively.,0
Tiertza,Stowgill,tstowgill34@bloglines.com,Male,07-04-1982,User,consultant,42,Langosh Group,Software_Developper,2024-04-14,2024-05-05,21,Mid Cap Project,11-09-2023,16-10-2023,35,2024-02-10,2024-02-17,client_project,Need to enhance cross-functional collaboration,9,5,4,3,5,4,1,False,31.0,-9.0,2024-02-18,2024-02-25,3,1,4,2,4,3,Feeling overwhelmed by the number of project meetings.,1
Immanuel,Thomazin,ithomazingy@sfgate.com,Female,24-10-1979,User,consultant,45,Schmidt-McKenzie,Software_Developper,2023-08-31,2023-09-14,14,Small Cap Project,26-05-2023,23-06-2023,28,2024-03-26,2024-04-02,bau,Task complexity higher than anticipated,1,3,8,5,9,5,2,True,33.0,-7.0,2023-12-25,2024-01-01,1,4,2,3,3,2,Concerns about the project's ability to deliver desired outcomes and benefits.,1
Cass,Hulkes,chulkesdx@fema.gov,Male,23-02-1979,User,software_developper,45,"Herzog, Farrell and Murray",Software_Developper,2023-11-02,2023-11-30,28,Mid Cap Project,06-04-2024,20-04-2024,14,2023-11-16,2023-11-23,client_project,Feeling valued and appreciated by team,9,12,6,1,6,9,11,False,54.0,14.0,2023-09-14,2023-09-21,1,5,5,5,1,4,Feeling frustrated with the project's lack of progress and clarit,0
Nady,Hellwich,nhellwichgj@mayoclinic.com,Female,11-12-1990,User,intern,34,"Nikolaus, Bogisich and Howell",Software_Developper,2023-12-04,2023-12-25,21,Mid Cap Project,09-09-2023,23-09-2023,14,2023-10-30,2023-11-06,client_project,Facing challenges with client expectations,8,3,6,7,2,5,9,True,40.0,0.0,2023-09-14,2023-09-21,4,3,2,4,5,1,Feeling stressed due to the project's impact on team dynamics and morale.,0
Cass,Hulkes,chulkesdx@fema.gov,Male,23-02-1979,User,software_developper,45,"Herzog, Farrell and Murray",Software_Developper,2023-11-02,2023-11-30,28,Mid Cap Project,06-04-2024,20-04-2024,14,2023-09-14,2023-09-21,client_project,Facing resistance to change from stakeholders,5,3,2,8,8,9,1,False,36.0,-4.0,2023-09-14,2023-09-21,1,5,5,5,1,4,Feeling frustrated with the project's lack of progress and clarit,0
Griffie,Botcherby,gbotcherby7z@spiegel.de,Female,13-09-1984,User,software_developper,40,"Weber, Wisoky and Larkin",Consulting,2023-10-16,2023-11-27,42,Mid Cap Project,24-05-2023,14-06-2023,21,2023-11-21,2023-11-28,client_project,Feeling accomplished after completing tasks,1,2,8,10,5,5,3,False,34.0,-6.0,2024-04-03,2024-04-10,1,5,5,2,2,2,Feeling unrecognized for my contributions.,1
Prince,Nazaret,pnazaretj4@acquirethisname.com,Male,01-08-1984,User,intern,40,Nolan-Muller,Consulting,2023-09-11,2023-10-23,42,Mid Cap Project,17-08-2023,14-09-2023,28,2024-03-09,2024-03-16,client_project,Need to improve conflict resolution skills,3,3,1,1,10,6,5,False,29.0,-11.0,,,,,,,,,,1
Myrtle,Bullerwell,mbullerwelle5@1688.com,Male,28-05-1986,User,consultant,38,"Wiegand, Ullrich and Cremin",Consulting,2024-01-06,2024-02-17,42,Mid Cap Project,18-11-2023,16-12-2023,28,2023-09-16,2023-09-23,sales_activity,Feeling motivated and productive,8,2,8,7,9,11,7,False,52.0,12.0,2023-06-11,2023-06-18,3,4,3,3,5,1,Seeking advice on managing project scope changes.,0
Cass,Hulkes,chulkesdx@fema.gov,Male,19-03-1990,User,software_developper,34,"Gerlach, Rosenbaum and Grimes",Software_Developper,2023-06-20,2023-07-04,14,Small Cap Project,06-04-2024,20-04-2024,14,2023-04-18,2023-04-25,client_project,Need to update project documentation,8,9,5,9,10,7,6,False,54.0,14.0,2023-09-14,2023-09-21,1,5,5,5,1,4,Feeling frustrated with the project's lack of progress and clarit,0
Jereme,Allberry,jallberry5@posterous.com,Female,01-04-1977,User,software_developper,47,"Jenkins, Swift and Kuvalis",Software_Developper,2024-01-04,2024-01-18,14,Small Cap Project,28-01-2024,11-02-2024,14,2024-03-25,2024-04-01,sales_activity,Task complexity higher than anticipated,6,6,7,2,11,10,3,True,45.0,5.0,,,,,,,,,,0
Jenn,Aubri,jaubri8k@macromedia.com,Male,07-04-1976,User,software_developper,48,"Hickle, Murphy and Anderson",Software_Developper,2024-02-24,2024-03-16,21,Mid Cap Project,18-10-2023,15-11-2023,28,2023-11-21,2023-11-28,bau,Encountering unexpected obstacles,3,7,3,7,7,4,2,True,33.0,-7.0,2024-01-10,2024-01-17,5,1,3,1,5,2,Need support in managing stakeholder relationships.,1
Owen,Paur,opaurpt@jugem.jp,Male,05-12-1984,User,consultant,40,Stiedemann Inc,Software_Developper,2023-04-09,2023-04-23,14,Small Cap Project,05-05-2023,19-05-2023,14,2023-09-12,2023-09-19,sales_activity,Task completion delayed due to unforeseen circumstances,10,3,2,2,1,9,6,True,33.0,-7.0,,,,,,,,,,1
Angie,Stickings,astickings25@columbia.edu,Male,02-02-1976,User,software_developper,48,Thompson Inc,Software_Developper,2023-12-04,2024-01-01,28,Mid Cap Project,21-05-2023,04-06-2023,14,2023-10-15,2023-10-22,sales_activity,Experiencing delays due to external dependencies,6,5,7,4,1,7,8,True,38.0,-2.0,2023-06-22,2023-06-29,2,5,2,1,5,5,Experiencing challenges in managing project timelines and milestones.,0
Chevy,Smitherman,csmitherman19@sciencedaily.com,Female,06-03-1984,User,consultant,40,Koepp Inc,Consulting,2023-05-03,2023-06-07,35,Mid Cap Project,26-06-2023,17-07-2023,21,2023-04-29,2023-05-06,sales_activity,Feeling empowered to make decisions,1,11,4,5,4,2,1,False,28.0,-12.0,2023-09-19,2023-09-26,1,1,4,2,4,1,Seeking advice on handling difficult conversations.,1
Kimbra,Simakov,ksimakovb9@sbwire.com,Female,18-04-1984,User,tribe_master,40,West LLC,Consulting,2023-07-07,2023-08-04,28,Mid Cap Project,30-01-2024,05-03-2024,35,2023-05-10,2023-05-17,client_project,Enjoying working on current tasks,11,5,10,8,1,5,10,False,50.0,10.0,,,,,,,,,,0
Chevy,Smitherman,csmitherman19@sciencedaily.com,Female,10-10-1984,User,consultant,40,Hand-Reichert,Software_Developper,2023-06-25,2023-07-16,21,Mid Cap Project,27-05-2023,01-07-2023,35,2023-06-09,2023-06-16,client_project,Facing resistance to change from stakeholders,5,1,3,12,6,5,2,True,34.0,-6.0,2023-09-19,2023-09-26,1,1,4,2,4,1,Seeking advice on handling difficult conversations.,1
Dal,MacAleese,dmacaleeserm@cyberchimps.com,Male,03-09-1978,User,intern,46,Lubowitz Inc,Consulting,2023-07-23,2023-08-20,28,Mid Cap Project,09-10-2023,06-11-2023,28,2023-05-22,2023-05-29,client_project,Meeting deadlines consistently,6,9,9,1,10,3,10,False,48.0,8.0,2023-04-26,2023-05-03,4,4,4,1,2,4,Concerns about the project's direction.,0
Cloe,Spinley,cspinleyi@ebay.com,Male,18-12-1992,User,software_developper,32,Kling and Sons,Consulting,2023-08-17,2023-08-31,14,Small Cap Project,11-12-2023,25-12-2023,14,2023-11-13,2023-11-20,sales_activity,Facing distractions while working,1,6,11,8,12,9,6,True,53.0,13.0,2023-06-07,2023-06-14,4,1,4,4,3,3,Concerns about the project's alignment with organizational goals.,0
Anthea,Tivnan,ativnanjt@pinterest.com,Male,15-04-1996,User,software_developper,28,Schumm-O'Kon,Consulting,2023-04-10,2023-05-15,35,Mid Cap Project,19-02-2024,01-04-2024,42,2023-10-30,2023-11-06,client_project,Facing challenges with client expectations,8,3,6,7,2,5,9,True,40.0,0.0,,,,,,,,,,0
Alix,Withams,awithamsps@alexa.com,Female,07-07-1988,User,software_developper,36,Frami-Hudson,Software_Developper,2023-06-19,2023-07-31,42,Mid Cap Project,25-03-2024,08-04-2024,14,2023-10-29,2023-11-05,bau,Enjoying working on current tasks,1,11,3,5,10,1,3,True,34.0,-6.0,2023-07-21,2023-07-28,2,1,1,3,5,2,Feeling unsupported in addressing team challenges.,1
Veronica,Lenihan,vlenihan7b@toplist.cz,Male,07-05-1975,User,software_developper,49,Hudson-Wisoky,Software_Developper,2023-12-07,2024-01-18,42,Mid Cap Project,05-01-2024,16-02-2024,42,2024-01-31,2024-02-07,client_project,Need to establish clearer project timelines,3,2,10,2,6,4,2,False,29.0,-11.0,,,,,,,,,,1
Berti,Heinig,bheinig27@rediff.com,Male,13-09-1993,User,software_developper,31,Lang-Harvey,Software_Developper,2024-04-05,2024-05-03,28,Mid Cap Project,18-02-2024,10-03-2024,21,2023-07-04,2023-07-11,sales_activity,Feeling confident about progress made,10,1,8,5,3,4,3,False,34.0,-6.0,2023-10-08,2023-10-15,1,1,5,4,5,1,Feeling overwhelmed by competing priorities.,1
Tiertza,Stowgill,tstowgill34@bloglines.com,Male,07-04-1982,User,consultant,42,Langosh Group,Software_Developper,2024-04-14,2024-05-05,21,Mid Cap Project,11-09-2023,16-10-2023,35,2024-02-10,2024-02-17,client_project,Need to enhance cross-functional collaboration,9,5,4,3,5,4,1,False,31.0,-9.0,2024-02-18,2024-02-25,3,1,4,2,4,3,Feeling overwhelmed by the number of project meetings.,1
Pammi,Asals,pasalscz@wordpress.com,Female,25-01-1990,User,software_developper,34,"Jaskolski, Beatty and Metz",Software_Developper,2024-03-10,2024-04-21,42,Mid Cap Project,18-09-2023,09-10-2023,21,2023-08-27,2023-09-03,bau,Need to enhance cross-functional collaboration,11,7,8,1,1,4,2,True,34.0,-6.0,2023-11-04,2023-11-11,2,2,5,1,5,3,Struggling to maintain motivation during long-term projects.,1
Nanon,Spowage,nspowagef9@sciencedaily.com,Male,14-10-1979,User,software_developper,45,Fay-Welch,Consulting,2023-11-17,2023-12-29,42,Mid Cap Project,22-02-2024,07-03-2024,14,2023-09-16,2023-09-23,bau,Need better communication from project stakeholders,10,7,12,10,4,4,10,False,57.0,17.0,,,,,,,,,,0
Chevy,Smitherman,csmitherman19@sciencedaily.com,Female,06-03-1984,User,consultant,40,Koepp Inc,Consulting,2023-05-03,2023-06-07,35,Mid Cap Project,26-06-2023,17-07-2023,21,2023-09-14,2023-09-21,bau,Facing communication issues with team,9,12,6,9,7,2,6,False,51.0,11.0,2023-12-30,2024-01-06,4,5,4,3,3,3,Experiencing difficulties in delegating tasks effectively.,0
Chevy,Smitherman,csmitherman19@sciencedaily.com,Female,06-03-1984,User,consultant,40,Stanton and Sons,Software_Developper,2024-03-19,2024-04-23,35,Mid Cap Project,26-06-2023,17-07-2023,21,2023-04-29,2023-05-06,sales_activity,Feeling empowered to make decisions,1,11,4,5,4,2,1,False,28.0,-12.0,2023-09-19,2023-09-26,1,1,4,2,4,1,Seeking advice on handling difficult conversations.,1
Anatollo,Le-Good,alegoodde@about.me,Female,12-11-1983,User,software_developper,41,Harber-Feeney,Software_Developper,2023-04-24,2023-05-08,14,Small Cap Project,09-10-2023,23-10-2023,14,2024-03-25,2024-04-01,bau,Task requirements evolving continuously,6,11,4,8,11,12,12,True,64.0,24.0,2023-10-29,2023-11-05,4,3,1,1,5,5,Feeling unrecognized for my contributions.,0
Maddy,Fendley,mfendley9n@chron.com,Female,26-07-1988,User,consultant,36,"Keebler, Feil and Monahan",Software_Developper,2023-05-02,2023-06-06,35,Mid Cap Project,30-11-2023,21-12-2023,21,2023-05-31,2023-06-07,sales_activity,Experiencing delays due to external factors,3,5,12,2,5,1,4,False,32.0,-8.0,2023-05-20,2023-05-27,3,2,4,5,1,4,Feeling unsupported in addressing project issues effectively.,1
Cointon,Barkes,cbarkeskc@dailymotion.com,Male,13-11-1999,User,consultant,25,Harber-Wintheiser,Software_Developper,2023-08-11,2023-08-25,14,Small Cap Project,12-08-2023,02-09-2023,21,2024-03-26,2024-04-02,bau,Task complexity higher than anticipated,1,3,8,5,9,5,2,True,33.0,-7.0,,,,,,,,,,1
Pammi,Asals,pasalscz@wordpress.com,Female,14-11-1995,User,software_developper,29,Robel Group,Software_Developper,2024-02-28,2024-04-10,42,Mid Cap Project,18-09-2023,09-10-2023,21,2023-06-24,2023-07-01,bau,Feeling accomplished after completing tasks,11,6,2,2,10,6,12,True,49.0,9.0,2023-11-04,2023-11-11,2,2,5,1,5,3,Struggling to maintain motivation during long-term projects.,0
Cloe,Spinley,cspinleyi@ebay.com,Female,01-04-1982,User,software_developper,42,Koepp Inc,Consulting,2023-05-03,2023-06-07,35,Mid Cap Project,11-08-2023,01-09-2023,21,2023-12-29,2024-01-05,bau,Struggling to prioritize tasks effectively,5,9,11,10,7,5,4,True,51.0,11.0,2023-09-14,2023-09-21,3,5,5,1,5,2,Feeling stressed due to the project's impact on team dynamics and morale.,0
Larisa,Canet,lcanet8g@unicef.org,Male,26-10-1990,User,intern,34,"Krajcik, Rosenbaum and Barrows",Software_Developper,2023-09-10,2023-10-15,35,Mid Cap Project,23-10-2023,04-12-2023,42,2023-08-09,2023-08-16,bau,Need to delegate tasks more effectively,9,3,1,4,1,6,8,False,32.0,-8.0,,,,,,,,,,1
Nowell,Carrane,ncarrane7l@twitter.com,Female,27-05-1983,User,software_developper,41,Thompson and Sons,Software_Developper,2023-07-29,2023-09-09,42,Mid Cap Project,01-06-2023,13-07-2023,42,2024-01-17,2024-01-24,sales_activity,Need to address project risks proactively,2,12,3,1,2,3,3,False,26.0,-14.0,2023-08-11,2023-08-18,4,1,3,1,5,1,Experiencing burnout due to long hours.,1
Adorne,Bartkowiak,abartkowiakbp@timesonline.co.uk,Female,15-01-2002,User,software_developper,22,"Kshlerin, Leffler and Hansen",Software_Developper,2023-06-08,2023-07-13,35,Mid Cap Project,28-08-2023,09-10-2023,42,2024-01-31,2024-02-07,client_project,Need to establish clearer project timelines,3,2,10,2,6,4,2,False,29.0,-11.0,2023-11-08,2023-11-15,5,2,3,1,3,1,Seeking guidance on managing project budgets and resource allocations.,1
Damon,Toffetto,dtoffettopl@census.gov,Female,12-08-1998,User,intern,26,Hettinger-Littel,Software_Developper,2024-04-20,2024-05-11,21,Mid Cap Project,22-08-2023,12-09-2023,21,2023-07-04,2023-07-11,sales_activity,Feeling confident about progress made,10,1,8,5,3,4,3,False,34.0,-6.0,2023-04-29,2023-05-06,2,1,4,4,2,5,Seeking guidance on managing project schedules and deadlines effectively.,1
Kent,Gomes,kgomesii@clickbank.net,Male,26-08-1996,User,software_developper,28,Lubowitz and Sons,Consulting,2023-09-30,2023-11-04,35,Mid Cap Project,29-08-2023,12-09-2023,14,,,,,,,,,,,,,,,,,,,,,,,,0
Damon,Toffetto,dtoffettopl@census.gov,Female,12-08-1998,User,intern,26,Torphy Inc,Software_Developper,2023-08-17,2023-09-21,35,Mid Cap Project,22-08-2023,12-09-2023,21,2023-08-20,2023-08-27,sales_activity,Need to delegate tasks more effectively,7,6,6,9,9,2,7,False,46.0,6.0,2023-04-29,2023-05-06,2,1,4,4,2,5,Seeking guidance on managing project schedules and deadlines effectively.,0
Kirbee,Rosiello,krosielloqr@symantec.com,Female,02-07-1979,User,tribe_master,45,Ledner LLC,Software_Developper,2023-10-30,2023-11-27,28,Mid Cap Project,15-10-2023,12-11-2023,28,2023-12-24,2023-12-31,client_project,Task completed ahead of schedule,6,9,6,2,9,7,10,True,49.0,9.0,2024-01-03,2024-01-10,3,2,3,4,5,2,Need assistance in managing stakeholder expectations.,0
Cointon,Barkes,cbarkeskc@dailymotion.com,Male,13-11-1999,User,consultant,25,Schmidt-McKenzie,Software_Developper,2023-08-31,2023-09-14,14,Small Cap Project,12-08-2023,02-09-2023,21,2024-03-26,2024-04-02,bau,Task complexity higher than anticipated,1,3,8,5,9,5,2,True,33.0,-7.0,,,,,,,,,,1
Dal,MacAleese,dmacaleeserm@cyberchimps.com,Female,03-08-1977,User,intern,47,Lubowitz Inc,Consulting,2023-07-23,2023-08-20,28,Mid Cap Project,09-10-2023,06-11-2023,28,2024-02-24,2024-03-02,client_project,Feeling overwhelmed by project complexity,11,12,3,12,9,5,4,True,56.0,16.0,2023-10-19,2023-10-26,3,1,4,4,1,2,Need support in improving my technical skills.,0
Cointon,Barkes,cbarkeskc@dailymotion.com,Male,27-09-1999,User,consultant,25,Harber-Wintheiser,Software_Developper,2023-08-11,2023-08-25,14,Small Cap Project,22-02-2024,28-03-2024,35,2024-03-26,2024-04-02,bau,Task complexity higher than anticipated,1,3,8,5,9,5,2,True,33.0,-7.0,,,,,,,,,,1
Pammi,Asals,pasalscz@wordpress.com,Female,25-01-1990,User,software_developper,34,"Jaskolski, Beatty and Metz",Software_Developper,2024-03-10,2024-04-21,42,Mid Cap Project,18-09-2023,09-10-2023,21,2023-09-21,2023-09-28,sales_activity,Need to prioritize tasks more effectively,2,12,11,10,10,2,1,True,48.0,8.0,2023-11-04,2023-11-11,2,2,5,1,5,3,Struggling to maintain motivation during long-term projects.,0
Linnell,Garside,lgarsidell@bravesites.com,Male,12-11-1979,User,software_developper,45,Pouros LLC,Consulting,2024-01-30,2024-02-27,28,Mid Cap Project,02-07-2023,30-07-2023,28,2023-11-16,2023-11-23,client_project,Feeling valued and appreciated by team,9,12,6,1,6,9,11,False,54.0,14.0,,,,,,,,,,0
Nowell,Carrane,ncarrane7l@twitter.com,Female,27-05-1983,User,software_developper,41,Thompson and Sons,Software_Developper,2023-07-29,2023-09-09,42,Mid Cap Project,01-06-2023,13-07-2023,42,2023-12-13,2023-12-20,sales_activity,Need clarification on project requirements,7,7,10,10,1,11,5,True,51.0,11.0,2023-08-11,2023-08-18,4,1,3,1,5,1,Experiencing burnout due to long hours.,0
Darb,Kloisner,dkloisnermg@liveinternet.ru,Female,25-04-1984,User,consultant,40,"Walker, Williamson and Reilly",Software_Developper,2023-04-22,2023-05-06,14,Small Cap Project,17-12-2023,14-01-2024,28,2023-12-18,2023-12-25,bau,Facing challenges with time tracking,9,7,2,4,1,8,2,True,33.0,-7.0,2023-08-12,2023-08-19,4,3,3,1,3,4,Feeling overwhelmed by the project's workload and demands.,1
Jarvis,Arter,jartermc@google.com.br,Female,01-04-2001,User,software_developper,23,"Ernser, Blanda and Jast",Software_Developper,2023-12-16,2023-12-30,14,Small Cap Project,07-09-2023,19-10-2023,42,2024-03-29,2024-04-05,client_project,Need to prioritize tasks more effectively,10,10,12,4,7,11,1,False,55.0,15.0,2023-04-26,2023-05-03,5,5,3,1,2,2,Need support in handling client expectations.,0
Angie,Stickings,astickings25@columbia.edu,Female,29-05-1975,User,software_developper,49,Thompson Inc,Software_Developper,2023-12-04,2024-01-01,28,Mid Cap Project,21-05-2023,04-06-2023,14,2023-10-16,2023-10-23,sales_activity,Task progress hindered by bureaucracy,2,3,4,3,11,10,8,False,41.0,1.0,2023-06-22,2023-06-29,2,5,2,1,5,5,Experiencing challenges in managing project timelines and milestones.,0
Chevy,Smitherman,csmitherman19@sciencedaily.com,Female,10-10-1984,User,consultant,40,Koepp Inc,Consulting,2023-05-03,2023-06-07,35,Mid Cap Project,26-06-2023,17-07-2023,21,2023-04-29,2023-05-06,sales_activity,Feeling empowered to make decisions,1,11,4,5,4,2,1,False,28.0,-12.0,2023-09-19,2023-09-26,1,1,4,2,4,1,Seeking advice on handling difficult conversations.,1
Cointon,Barkes,cbarkeskc@dailymotion.com,Male,27-09-1999,User,consultant,25,"Corkery, Hickle and Auer",Software_Developper,2024-04-20,2024-05-04,14,Small Cap Project,12-08-2023,02-09-2023,21,2024-01-30,2024-02-06,sales_activity,Need to adapt to changing market conditions,8,1,8,2,2,7,7,True,35.0,-5.0,,,,,,,,,,0
Nanon,Spowage,nspowagef9@sciencedaily.com,Male,17-03-1987,User,software_developper,37,Langworth and Sons,Software_Developper,2024-02-05,2024-02-26,21,Mid Cap Project,22-02-2024,07-03-2024,14,2024-03-09,2024-03-16,client_project,Need to improve conflict resolution skills,3,3,1,1,10,6,5,False,29.0,-11.0,,,,,,,,,,1
Kirbee,Rosiello,krosielloqr@symantec.com,Female,02-07-1979,User,tribe_master,45,"Leannon, Mueller and Shanahan",Consulting,2023-12-16,2024-01-20,35,Mid Cap Project,15-10-2023,12-11-2023,28,2024-02-10,2024-02-17,client_project,Need to enhance cross-functional collaboration,9,5,4,3,5,4,1,False,31.0,-9.0,2024-01-31,2024-02-07,1,5,4,1,4,5,Feeling unsupported in addressing team challenges.,1
Cirilo,Blaw,cblaw3a@google.fr,Female,26-01-1984,User,consultant,40,Doyle-Dietrich,Software_Developper,2023-06-26,2023-07-10,14,Small Cap Project,09-04-2023,14-05-2023,35,2024-03-14,2024-03-21,client_project,Need better communication from project stakeholders,7,5,2,4,1,6,9,False,34.0,-6.0,2023-06-15,2023-06-22,5,3,1,3,4,2,Need support in addressing team members' performance issues.,1
Catherine,Corstorphine,ccorstorphineb6@google.com.hk,Female,06-02-1978,User,intern,46,"Mayert, Barton and Graham",Intern,2023-07-28,2023-08-11,14,Small Cap Project,23-07-2023,03-09-2023,42,2023-04-18,2023-04-25,client_project,Feeling stressed about impending deadlines,6,10,2,10,8,1,2,True,39.0,-1.0,,,,,,,,,,0
Ronnie,Tackley,rtackleyi8@nydailynews.com,Male,09-02-1995,User,intern,29,"Luettgen, Torp and Upton",Software_Developper,2024-01-07,2024-02-18,42,Mid Cap Project,27-05-2023,08-07-2023,42,2023-07-11,2023-07-18,bau,Need to improve collaboration with cross-functional teams,5,6,5,8,3,2,4,True,33.0,-7.0,2024-01-10,2024-01-17,2,3,4,1,2,1,Struggling with maintaining project momentum during changes and disruptions.,1
Pammi,Asals,pasalscz@wordpress.com,Female,14-11-1995,User,software_developper,29,"Bradtke, Hayes and Ortiz",Intern,2023-11-11,2023-12-16,35,Mid Cap Project,18-09-2023,09-10-2023,21,2023-12-15,2023-12-22,client_project,Experiencing delays due to external factors,10,4,5,10,12,8,12,False,61.0,21.0,2023-11-04,2023-11-11,2,2,5,1,5,3,Struggling to maintain motivation during long-term projects.,0
Anastasia,Desporte,adesportejf@cisco.com,Female,24-10-1992,User,consultant,32,Braun and Sons,Software_Developper,2024-01-27,2024-02-10,14,Small Cap Project,02-10-2023,16-10-2023,14,2024-01-25,2024-02-01,client_project,Feeling supported by project manager,8,12,7,8,10,1,4,False,50.0,10.0,2024-01-30,2024-02-06,4,5,2,2,4,4,Struggling with maintaining project momentum during changes and disruptions.,0
Nowell,Carrane,ncarrane7l@twitter.com,Female,27-05-1983,User,software_developper,41,Nitzsche-Hodkiewicz,Consulting,2023-07-21,2023-08-18,28,Mid Cap Project,01-06-2023,13-07-2023,42,2024-01-20,2024-01-27,bau,Can't able to do within the time period,8,3,5,10,9,12,6,True,53.0,13.0,2023-11-22,2023-11-29,2,2,5,4,3,5,Need support in fostering a culture of innovation within the team.,0
Doug,Christiensen,dchristiensene8@networkadvertising.org,Male,28-10-1983,User,consultant,41,Jast and Sons,Software_Developper,2024-01-29,2024-02-12,14,Small Cap Project,17-01-2024,31-01-2024,14,2024-02-29,2024-03-07,bau,Need to align project goals with company objectives,12,12,6,5,5,10,2,False,52.0,12.0,2023-09-19,2023-09-26,2,3,5,3,1,3,Need assistance in improving team communication channels.,0
